name,change,risk,predicted_return,risk_num,score,allocation
Figure Heloc,0.12,Low,0.1,1,0.1,0.15496267982127637
Avalanche,0.11,Low,0.09,1,0.09,0.13946641183914874
Ondo,0.1,Low,0.08,1,0.08,0.12397014385702111
Lido DAO,0.09,Low,0.08,1,0.08,0.12397014385702111
Grass,0.09,Low,0.07,1,0.07,0.10847387587489347
Onchain Yield Coin,0.05,Low,0.04,1,0.04,0.061985071928510556
SPX6900,0.04,Low,0.03,1,0.03,0.04648880394638291
BFUSD,0.02,Low,0.02,1,0.02,0.030992535964255278
Legacy Frax Dollar,0.02,Low,0.02,1,0.02,0.030992535964255278
Re Protocol reUSD,0.02,Low,0.02,1,0.02,0.030992535964255278
Fasttoken,0.02,Low,0.01,1,0.01,0.015496267982127639
YLDS,0.02,Low,0.01,1,0.01,0.015496267982127639
USX,0.01,Low,0.0,1,0.0,0.0
Janus Henderson Anemoy AAA CLO Fund,0.01,Low,0.0,1,0.0,0.0
USDC,0.01,Low,0.01,1,0.01,0.015496267982127639
Global Dollar,0.01,Low,0.0,1,0.0,0.0
TrueUSD,0.01,Low,0.01,1,0.01,0.015496267982127639
Ripple USD,0.01,Low,0.0,1,0.0,0.0
Circle USYC,0.01,Low,0.01,1,0.01,0.015496267982127639
Spiko US T-Bills Money Market Fund,0.01,Low,0.01,1,0.01,0.015496267982127639
OUSG,0.01,Low,0.01,1,0.01,0.015496267982127639
USDai,0.01,Low,0.0,1,0.0,0.0
AUSD,0.01,Low,0.01,1,0.01,0.015496267982127639
Janus Henderson Anemoy Treasury Fund,0.01,Low,0.0,1,0.0,0.0
BlackRock USD Institutional Digital Liquidity Fund,0.0,Low,0.0,1,0.0,0.0
Hedera,0.0,Low,0.0,1,0.0,0.0
Tradable NA Rent Financing Platform SSTN,0.0,Low,0.0,1,0.0,0.0
Neutrl USD,-0.0,Low,-0.0,1,-0.0,-0.0
Tether,0.0,Low,0.0,1,0.0,0.0
USD1,-0.0,Low,-0.0,1,-0.0,-0.0
Superstate Short Duration U.S. Government Securities Fund (USTB),0.0,Low,0.0,1,0.0,0.0
Tradable Singapore Fintech SSL,0.0,Low,0.0,1,0.0,0.0
KOGE,-0.0,Low,-0.0,1,-0.0,-0.0
Fidelity Digital Interest Token,0.0,Low,0.0,1,0.0,0.0
Blockchain Capital,0.0,Low,0.0,1,0.0,0.0
GHO,-0.01,Low,-0.0,1,-0.0,-0.0
USDtb,-0.01,Low,-0.01,1,0.0,0.0
Avant USD,-0.01,Low,-0.01,1,0.0,0.0
crvUSD,-0.01,Low,-0.0,1,-0.0,-0.0
USDS,-0.02,Low,-0.02,1,0.0,0.0
Dai,-0.02,Low,-0.01,1,0.0,0.0
PayPal USD,-0.02,Low,-0.01,1,0.0,0.0
Ethena USDe,-0.02,Low,-0.02,1,0.0,0.0
Frax USD,-0.02,Low,-0.01,1,0.0,0.0
Aster USDF,-0.03,Low,-0.03,1,0.0,0.0
CASH,-0.03,Low,-0.02,1,0.0,0.0
Bitget Token,-0.04,Low,-0.03,1,0.0,0.0
First Digital USD,-0.04,Low,-0.03,1,0.0,0.0
Rain,-0.04,Low,-0.03,1,0.0,0.0
XRP,-0.04,Low,-0.03,1,0.0,0.0
Tokenize Xchange,-0.05,Low,-0.04,1,0.0,0.0
Falcon USD,-0.05,Low,-0.04,1,0.0,0.0
Shiba Inu,-0.06,Low,-0.05,1,0.0,0.0
InfiniFi USD,-0.06,Low,-0.05,1,0.0,0.0
Satoshi Stablecoin,-0.07,Low,-0.05,1,0.0,0.0
The Graph,-0.07,Low,-0.05,1,0.0,0.0
Ape and Pepe,-0.08,Low,-0.06,1,0.0,0.0
Cronos,-0.08,Low,-0.06,1,0.0,0.0
Dogecoin,-0.1,Low,-0.08,1,0.0,0.0
Apollo Diversified Credit Securitize Fund,-0.1,Low,-0.08,1,0.0,0.0
Gnosis,-0.1,Low,-0.08,1,0.0,0.0
OriginTrail,-0.12,Low,-0.1,1,0.0,0.0
Ondo US Dollar Yield,-0.14,Low,-0.11,1,0.0,0.0
Stacks,-0.14,Low,-0.11,1,0.0,0.0
Aerodrome Finance,-0.14,Low,-0.12,1,0.0,0.0
OKB,-0.16,Low,-0.13,1,0.0,0.0
USDD,-0.18,Low,-0.14,1,0.0,0.0
Theo Short Duration US Treasury Fund,-0.19,Low,-0.15,1,0.0,0.0
LayerZero,-0.2,Low,-0.16,1,0.0,0.0
Falcon Finance,-0.21,Low,-0.17,1,0.0,0.0
Pyth Network,-0.22,Low,-0.18,1,0.0,0.0
Sui,-0.23,Low,-0.19,1,0.0,0.0
Bitcoin Cash,-0.24,Low,-0.19,1,0.0,0.0
Tezos,-0.24,Low,-0.19,1,0.0,0.0
Bonk,-0.27,Low,-0.22,1,0.0,0.0
Celestia,-0.3,Low,-0.24,1,0.0,0.0
FLOKI,-0.3,Low,-0.24,1,0.0,0.0
Jupiter,-0.31,Low,-0.25,1,0.0,0.0
Sonic,-0.33,Low,-0.26,1,0.0,0.0
ZKsync,-0.36,Low,-0.29,1,0.0,0.0
GoMining Token,-0.37,Low,-0.29,1,0.0,0.0
Pendle,-0.4,Low,-0.32,1,0.0,0.0
Beldex,-0.4,Low,-0.32,1,0.0,0.0
Arbitrum,-0.42,Low,-0.34,1,0.0,0.0
Maple Finance,-0.43,Low,-0.34,1,0.0,0.0
BUILDon,-0.43,Low,-0.35,1,0.0,0.0
Algorand,-0.43,Low,-0.34,1,0.0,0.0
Vision,-0.44,Low,-0.35,1,0.0,0.0
Internet Computer,-0.48,Low,-0.38,1,0.0,0.0
Stellar,-0.51,Medium,-0.41,2,0.0,0.0
Sentient,-0.52,Medium,-0.42,2,0.0,0.0
JasmyCoin,-0.56,Medium,-0.45,2,0.0,0.0
1INCH,-0.61,Medium,-0.49,2,0.0,0.0
Theta Network,-0.61,Medium,-0.49,2,0.0,0.0
GUSD,-0.68,Medium,-0.55,2,0.0,0.0
GALA,-0.7,Medium,-0.56,2,0.0,0.0
Onyxcoin,-0.72,Medium,-0.57,2,0.0,0.0
Sei,-0.72,Medium,-0.58,2,0.0,0.0
Ribbita by Virtuals,-0.75,Medium,-0.6,2,0.0,0.0
Helium,-0.77,Medium,-0.62,2,0.0,0.0
0G,-0.78,Medium,-0.63,2,0.0,0.0
Cardano,-0.8,Medium,-0.64,2,0.0,0.0
Monad,-0.81,Medium,-0.65,2,0.0,0.0
Ozone Chain,-0.82,Medium,-0.66,2,0.0,0.0
Golem,-0.88,Medium,-0.7,2,0.0,0.0
Kaspa,-0.9,Medium,-0.72,2,0.0,0.0
Walrus,-0.95,Medium,-0.76,2,0.0,0.0
Basic Attention,-0.98,Medium,-0.78,2,0.0,0.0
DoubleZero,-1.0,Medium,-0.8,2,0.0,0.0
Flare,-1.01,Medium,-0.81,2,0.0,0.0
IOTA,-1.01,Medium,-0.81,2,0.0,0.0
Immutable,-1.09,Medium,-0.87,2,0.0,0.0
SwissBorg,-1.12,Medium,-0.9,2,0.0,0.0
Terra Luna Classic,-1.18,Medium,-0.94,2,0.0,0.0
Virtuals Protocol,-1.2,Medium,-0.96,2,0.0,0.0
DeXe,-1.21,Medium,-0.97,2,0.0,0.0
MemeCore,-1.21,Medium,-0.97,2,0.0,0.0
ADI,-1.25,Medium,-1.0,2,0.0,0.0
NEO,-1.29,Medium,-1.03,2,0.0,0.0
NEAR Protocol,-1.33,Medium,-1.06,2,0.0,0.0
Telcoin,-1.36,Medium,-1.09,2,0.0,0.0
The Sandbox,-1.36,Medium,-1.09,2,0.0,0.0
MultiversX,-1.37,Medium,-1.1,2,0.0,0.0
Optimism,-1.43,Medium,-1.14,2,0.0,0.0
Quant,-1.63,Medium,-1.3,2,0.0,0.0
PAX Gold,-1.67,Medium,-1.33,2,0.0,0.0
Ethena,-1.81,Medium,-1.45,2,0.0,0.0
Tether Gold,-1.86,Medium,-1.49,2,0.0,0.0
POL (ex-MATIC),-1.87,Medium,-1.5,2,0.0,0.0
AB,-2.12,High,-1.7,3,0.0,0.0
Polkadot,-2.26,High,-1.81,3,0.0,0.0
VeChain,-2.28,High,-1.82,3,0.0,0.0
CoW Protocol,-2.31,High,-1.85,3,0.0,0.0
Decentraland,-2.32,High,-1.86,3,0.0,0.0
Worldcoin,-2.49,High,-2.0,3,0.0,0.0
Axie Infinity,-2.63,High,-2.11,3,0.0,0.0
Story,-2.64,High,-2.11,3,0.0,0.0
Pudgy Penguins,-2.71,High,-2.17,3,0.0,0.0
Flying Tulip,-2.74,High,-2.19,3,0.0,0.0
Lombard,-2.77,High,-2.22,3,0.0,0.0
PancakeSwap,-3.07,High,-2.45,3,0.0,0.0
Pieverse,-3.28,High,-2.62,3,0.0,0.0
WeFi,-3.31,High,-2.65,3,0.0,0.0
Kinesis Gold,-3.43,High,-2.74,3,0.0,0.0
Olympus,-3.45,High,-2.76,3,0.0,0.0
Plasma,-4.08,High,-3.26,3,0.0,0.0
Midnight,-4.13,High,-3.3,3,0.0,0.0
Decred,-4.48,High,-3.59,3,0.0,0.0
Pleasing USD,-6.09,High,-4.87,3,0.0,0.0
Ultima,-6.23,High,-4.99,3,0.0,0.0
Undeads Games,-7.5,High,-6.0,3,0.0,0.0
Provenance Blockchain,-7.99,High,-6.4,3,0.0,0.0
BTSE Token,-8.92,High,-7.13,3,0.0,0.0
Lighter,-9.18,High,-7.34,3,0.0,0.0
USDa,,Unknown,0.0,2,0.0,0.0
